DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Total"
"411885 PEROBAL";1;-;6;2;2;-;5;8;6;10;8;11;7;6;11;4;3;5;10;3;3;4;2;1;1;-;-;1;2;5;2;129
"411890 PEROLA";1;4;1;5;3;1;3;1;1;1;5;1;4;2;6;6;6;8;8;15;13;9;3;2;-;2;-;1;-;-;-;112
"411900 PEROLA D'OESTE";-;1;1;-;1;-;-;2;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"411910 PIEN";-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"411915 PINHAIS";1;-;-;1;-;1;4;6;2;5;7;6;4;4;7;6;7;2;7;4;7;5;-;1;-;1;-;-;1;-;-;89
"411920 PINHALAO";-;-;1;-;-;-;-;-;-;-;1;2;1;2;2;-;4;2;3;-;2;1;-;-;-;-;1;-;-;-;-;22
"411925 PINHAL DE SAO BENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"411930 PINHAO";-;1;-;-;-;-;1;1;-;1;1;-;-;3;2;2;6;1;1;-;-;2;-;1;-;1;1;1;-;-;-;26
"411940 PIRAI DO SUL";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"411950 PIRAQUARA";-;2;-;3;1;1;-;-;1;-;-;1;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"411960 PITANGA";-;-;1;-;3;-;5;14;11;36;32;46;37;61;28;15;21;12;11;8;4;-;-;-;-;-;-;-;-;-;-;345
"411965 PITANGUEIRAS";-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;9
"411970 PLANALTINA DO PARANA";-;-;-;1;-;1;2;-;2;8;27;39;36;12;19;12;3;8;5;5;4;3;9;7;2;1;2;-;-;-;-;208
"411980 PLANALTO";-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"411990 PONTA GROSSA";6;9;1;12;3;7;15;18;16;21;34;48;55;83;86;71;68;61;71;90;67;56;38;24;9;5;2;4;2;1;-;983
"411995 PONTAL DO PARANA";4;3;3;-;4;6;5;6;11;9;5;6;6;3;3;4;8;2;3;7;1;-;-;2;-;1;-;1;1;-;-;104
"412000 PORECATU";46;49;87;178;166;173;207;204;199;152;151;104;129;95;58;56;34;21;7;6;5;1;-;1;2;-;-;1;-;-;-;2132
"412020 PORTO RICO";-;1;-;1;3;4;7;4;6;10;22;11;9;11;8;4;5;4;1;2;9;4;4;3;-;2;1;-;-;-;-;136
"412033 PRADO FERREIRA";-;-;1;1;2;-;3;3;4;3;4;5;5;5;4;7;9;5;1;2;-;-;-;-;-;-;-;-;-;-;-;64
"412035 PRANCHITA";-;-;2;3;-;1;1;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"412040 PRESIDENTE CASTELO BRANCO";-;1;-;-;-;1;2;4;-;2;7;2;3;6;5;4;5;5;3;1;-;-;-;-;-;1;-;-;-;-;-;52
"412050 PRIMEIRO DE MAIO";39;39;20;4;3;2;1;2;4;4;2;3;1;-;2;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;130
"412060 PRUDENTOPOLIS";-;-;-;2;-;1;1;-;-;-;1;5;-;1;1;4;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;18
"412065 QUARTO CENTENARIO";-;-;-;-;-;-;1;1;-;2;4;4;5;11;11;12;11;3;5;4;6;6;-;-;-;-;-;-;-;-;-;86
"412070 QUATIGUA";-;-;-;-;-;1;-;2;1;6;11;9;11;11;6;6;6;7;3;3;-;2;-;1;-;-;-;-;-;-;-;86
"412080 QUATRO BARRAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412085 QUATRO PONTES";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;1;3;2;-;-;-;-;-;-;11
"412090 QUEDAS DO IGUACU";-;-;-;-;-;-;-;2;4;5;3;4;4;7;4;1;3;4;4;-;-;2;1;1;1;-;-;-;-;-;-;50
"412100 QUERENCIA DO NORTE";11;9;24;27;42;80;106;201;177;203;185;160;123;75;66;24;21;24;21;14;15;1;3;3;5;1;1;-;1;3;-;1626
"412110 QUINTA DO SOL";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;7
"412120 QUITANDINHA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412130 RANCHO ALEGRE";2;-;-;-;-;-;1;1;2;5;1;11;9;6;9;8;7;6;7;5;5;11;4;1;1;1;-;-;-;-;-;103
"412135 RANCHO ALEGRE D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;-;-;1;2;1;1;-;-;-;-;-;-;-;-;12
"412140 REALEZA";-;-;-;1;-;-;1;-;-;3;-;2;3;5;5;3;3;4;6;6;7;7;-;1;-;-;-;-;-;-;-;57
"412150 REBOUCAS";-;-;-;-;-;-;1;-;-;-;1;-;-;1;4;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"412160 RENASCENCA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"412170 RESERVA";1;-;-;-;-;-;-;-;-;2;1;1;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"412175 RESERVA DO IGUACU";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412180 RIBEIRAO CLARO";1;-;-;-;-;2;4;16;17;22;17;13;17;28;36;31;36;29;32;8;16;7;3;1;2;1;-;-;-;-;-;339
"412190 RIBEIRAO DO PINHAL";1;3;4;4;8;8;26;33;42;69;70;52;45;30;13;31;26;18;10;8;4;2;-;-;-;1;-;-;-;-;-;508
"412210 RIO BOM";-;-;-;-;-;-;-;-;-;-;1;1;4;-;3;14;7;9;11;5;12;5;3;3;-;-;-;-;-;-;-;78
"412215 RIO BONITO DO IGUACU";-;-;1;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"412217 RIO BRANCO DO IVAI";-;-;1;-;-;-;1;-;-;3;1;3;6;11;4;5;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;44
"412220 RIO BRANCO DO SUL";1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"412240 ROLANDIA";2;2;8;7;14;8;18;31;49;73;101;74;88;110;114;105;117;101;75;74;52;43;15;21;3;2;1;1;2;13;12;1336
"412250 RONCADOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
"412260 RONDON";-;-;1;-;4;3;2;4;2;6;1;17;35;25;22;7;24;10;15;11;10;3;-;1;2;5;1;-;-;-;-;211
"412265 ROSARIO DO IVAI";-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;7
"412270 SABAUDIA";1;2;1;-;1;1;-;-;1;6;4;8;11;11;16;7;5;13;15;13;9;7;8;2;2;3;-;1;-;-;-;148
"412290 SALTO DO ITARARE";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5
"412300 SALTO DO LONTRA";-;-;-;-;1;-;1;-;1;1;-;5;4;3;3;4;5;1;4;1;5;3;2;1;-;-;-;-;1;-;-;46
"412310 SANTA AMELIA";-;-;-;-;-;-;-;1;1;-;-;5;-;2;6;15;22;9;13;3;16;3;6;2;1;-;3;-;-;-;-;108
"412320 SANTA CECILIA DO PAVAO";4;2;10;4;4;12;9;18;22;21;52;31;32;24;25;19;17;5;8;6;3;2;1;1;-;-;-;-;1;-;-;333
"412330 SANTA CRUZ DE MONTE CASTELO";-;-;3;4;14;15;18;39;31;60;106;137;110;168;103;54;28;34;31;8;22;4;3;3;3;3;2;1;-;-;-;1004
"412340 SANTA FE";2;-;-;-;-;-;-;2;-;1;1;-;1;-;-;-;1;3;1;1;1;4;-;-;1;1;-;1;-;-;-;21
"412350 SANTA HELENA";-;-;1;-;7;10;8;8;3;9;4;12;18;11;11;15;12;18;9;10;14;9;1;2;1;1;-;-;-;-;-;194
"412360 SANTA INES";-;-;-;-;-;-;-;2;6;1;7;2;6;15;8;4;5;4;5;4;3;2;-;1;1;-;-;-;-;-;-;76
"412370 SANTA ISABEL DO IVAI";3;2;6;5;10;8;21;21;16;24;17;40;29;51;51;31;28;44;31;21;27;29;18;10;1;1;4;4;2;1;1;557
"412380 SANTA IZABEL DO OESTE";1;1;1;3;-;9;4;5;9;15;16;19;31;34;27;30;46;27;29;17;18;9;2;4;-;-;-;-;-;-;-;357
"412382 SANTA LUCIA";-;-;-;-;-;-;-;-;1;-;1;-;1;7;10;8;11;6;15;7;2;6;1;-;-;-;-;-;-;-;-;76
"412385 SANTA MARIA DO OESTE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412390 SANTA MARIANA";5;15;9;26;26;27;30;48;41;27;35;29;34;22;17;11;14;11;19;4;6;3;4;-;-;1;-;2;-;-;-;466
"412395 SANTA MONICA";-;-;-;-;1;-;2;-;1;1;3;8;1;4;8;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"412400 SANTANA DO ITARARE";-;-;-;-;-;-;-;1;-;-;6;5;3;13;5;10;12;7;6;5;1;3;2;1;-;-;-;-;-;-;-;80
"412402 SANTA TEREZA DO OESTE";-;2;1;-;-;-;-;1;-;1;2;1;-;2;3;3;1;-;4;-;-;-;-;2;-;-;-;-;-;-;-;23
"412405 SANTA TEREZINHA DE ITAIPU";-;-;1;-;-;1;3;-;3;12;8;17;16;13;17;13;26;10;5;8;3;4;-;1;-;-;1;-;-;1;-;163
"412410 SANTO ANTONIO DA PLATINA";1;3;3;7;13;11;10;23;29;26;26;32;38;35;30;19;26;26;18;26;34;35;19;11;5;3;1;-;-;-;-;510
"412420 SANTO ANTONIO DO CAIUA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"412440 SANTO ANTONIO DO SUDOESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;-;4;2;1;2;1;-;-;-;-;-;-;15
"412450 SANTO INACIO";-;1;-;-;1;1;-;-;-;2;1;2;-;2;2;4;1;5;11;4;1;3;2;3;4;5;1;-;-;-;-;56
"412460 SAO CARLOS DO IVAI";-;2;1;-;1;-;-;1;1;2;1;3;2;4;5;5;1;2;1;5;8;1;-;1;2;-;-;-;-;-;-;49
"412470 SAO JERONIMO DA SERRA";-;-;-;-;-;1;-;2;-;1;-;2;-;4;-;6;3;2;1;1;-;-;1;-;-;-;-;-;-;-;-;24
"412480 SAO JOAO";1;2;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;9
"412490 SAO JOAO DO CAIUA";36;39;16;14;19;4;11;5;3;7;3;-;2;-;3;1;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;167
"412500 SAO JOAO DO IVAI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;7
"412510 SAO JOAO DO TRIUNFO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412520 SAO JORGE D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412530 SAO JORGE DO IVAI";1;-;-;2;2;-;4;14;36;45;83;69;76;99;50;25;27;20;13;5;4;-;-;1;-;1;-;-;-;-;-;577
"412535 SAO JORGE DO PATROCINIO";-;-;-;1;-;3;-;4;14;17;46;58;73;78;60;52;73;55;62;35;45;42;14;12;5;4;1;2;3;-;-;759
"412540 SAO JOSE DA BOA VISTA";-;-;-;-;-;-;-;3;5;6;9;7;19;13;11;19;18;7;6;2;5;4;2;1;-;-;-;-;-;-;-;137
"412545 SAO JOSE DAS PALMEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3
"412550 SAO JOSE DOS PINHAIS";-;-;-;-;2;-;3;2;1;3;3;2;-;3;5;4;3;2;4;2;1;-;1;1;-;-;-;-;-;-;-;42
"412555 SAO MANOEL DO PARANA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;6
"412560 SAO MATEUS DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412570 SAO MIGUEL DO IGUACU";3;5;1;4;7;5;12;16;11;17;24;44;46;45;47;38;50;49;32;45;26;20;16;3;2;1;-;2;-;1;-;572
"412575 SAO PEDRO DO IGUACU";-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"412580 SAO PEDRO DO IVAI";-;1;-;1;-;-;1;-;-;1;-;3;4;3;1;-;-;2;7;5;5;2;7;3;1;1;-;-;1;-;1;50
"412590 SAO PEDRO DO PARANA";-;3;4;5;7;3;10;15;2;5;4;5;7;5;7;9;7;6;3;4;3;7;8;2;1;-;-;-;-;-;-;132
"412600 SAO SEBASTIAO DA AMOREIRA";3;2;3;2;-;13;18;16;21;32;39;32;63;46;45;36;48;28;47;27;20;13;1;1;-;-;1;-;-;-;-;557
"412610 SAO TOME";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"412620 SAPOPEMA";1;-;-;-;3;9;2;7;4;4;5;4;6;7;7;9;3;3;2;3;4;-;1;1;2;1;1;-;-;-;-;89
"412625 SARANDI";1;1;-;4;-;1;-;2;3;8;13;11;5;9;8;5;11;9;10;10;16;8;10;3;1;-;3;1;-;1;-;154
"412627 SAUDADE DO IGUACU";1;-;2;-;-;-;-;-;-;1;1;3;3;3;2;3;3;1;2;3;-;1;-;1;-;-;-;-;-;-;-;30
"412630 SENGES";-;-;-;-;-;-;-;-;5;1;2;2;1;-;2;2;3;3;3;1;5;2;-;-;-;-;-;-;-;-;-;32
"412635 SERRANOPOLIS DO IGUACU";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;4
"412640 SERTANEJA";-;-;-;2;2;1;-;4;3;1;3;9;11;13;6;5;12;8;10;7;7;4;6;2;1;3;-;-;-;-;1;121
"412650 SERTANOPOLIS";2;-;3;1;2;2;2;5;4;2;7;14;7;9;12;20;22;13;20;17;12;11;4;-;-;1;1;-;-;-;-;193
"412660 SIQUEIRA CAMPOS";1;-;-;-;-;-;-;1;-;3;4;3;5;5;6;13;2;7;4;2;1;-;-;-;-;-;-;-;-;-;-;57
"412665 SULINA";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412667 TAMARANA";-;-;5;7;3;5;9;12;13;18;48;35;23;14;28;16;11;16;9;12;5;2;-;1;1;1;-;-;-;-;-;294
"412670 TAMBOARA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"412680 TAPEJARA";-;-;-;-;-;-;-;-;-;1;1;2;6;6;2;1;2;-;-;3;2;1;-;-;-;-;-;-;-;-;-;27
"412690 TAPIRA";4;11;15;10;7;8;19;13;14;3;19;12;13;24;15;6;8;4;7;4;2;2;-;3;1;-;-;-;-;-;-;224
"412710 TELEMACO BORBA";1;4;1;8;2;8;8;4;23;25;26;51;36;69;51;34;39;34;25;15;9;6;1;-;2;1;-;1;-;-;-;484
"412720 TERRA BOA";-;-;1;-;-;1;1;-;1;1;1;1;3;4;-;3;4;2;2;1;1;1;-;-;-;-;-;-;-;-;-;28
"412730 TERRA RICA";-;6;7;7;5;8;5;3;6;7;6;5;2;16;16;7;21;7;5;2;3;4;3;-;-;1;-;-;-;-;-;152
"412740 TERRA ROXA";1;-;-;-;-;-;2;1;2;4;2;2;3;6;3;1;3;6;5;3;1;4;1;1;1;1;1;1;-;-;-;55
"412750 TIBAGI";-;-;-;-;-;-;-;-;1;1;-;4;3;4;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;17
"412760 TIJUCAS DO SUL";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412770 TOLEDO";-;-;1;5;3;19;22;28;32;59;83;83;101;110;103;69;80;79;63;28;43;36;12;9;2;3;-;1;-;-;1;1075
"412780 TOMAZINA";1;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"412788 TUNAS DO PARANA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"412795 TUPASSI";1;1;1;-;-;-;1;-;1;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"412796 TURVO";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;4
"412800 UBIRATA";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;1;-;-;-;-;-;1;1;-;-;-;-;-;8
"412810 UMUARAMA";4;4;2;7;7;4;16;18;18;27;40;25;39;39;25;22;41;31;32;55;49;38;28;12;13;5;2;-;2;-;-;605
"412820 UNIAO DA VITORIA";-;-;-;1;-;-;-;1;-;-;1;1;-;1;1;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;10
"412830 UNIFLOR";-;-;-;-;-;-;1;2;2;1;5;1;4;1;5;3;-;-;4;3;5;-;-;-;1;-;-;-;-;-;-;38
"412840 URAI";-;6;1;2;5;1;5;5;4;7;2;1;2;1;2;1;-;-;1;-;-;2;-;3;-;-;-;-;-;-;-;51
"412850 WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;3;1;-;3;-;1;-;-;1;-;1;-;-;-;-;-;17
"412853 VENTANIA";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412855 VERA CRUZ DO OESTE";-;-;-;-;1;-;1;2;1;2;2;3;4;3;5;1;4;4;2;-;-;-;-;-;-;-;-;-;-;-;-;35
"412860 VERE";-;-;-;1;1;1;-;-;-;1;-;1;1;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"412862 ALTO PARAISO";-;-;-;-;-;-;-;-;-;1;4;2;3;9;3;3;7;6;3;5;9;9;1;2;-;-;-;-;-;-;-;67
"412865 VIRMOND";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"412870 VITORINO";-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"412880 XAMBRE";1;-;1;-;2;1;-;1;-;2;1;-;-;1;1;2;2;6;1;5;5;1;3;1;1;-;-;-;2;1;-;41
"420010 ABELARDO LUZ";-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;8
"420020 AGROLANDIA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420050 AGUAS DE CHAPECO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420060 AGUAS MORNAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420080 ANCHIETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;2;-;-;-;-;-;-;-;-;-;7
"420125 APIUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420127 ARABUTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"420130 ARAQUARI";-;1;2;2;1;-;2;9;2;-;7;11;11;9;21;12;16;13;13;16;13;14;13;3;2;5;-;2;-;-;-;200
"420140 ARARANGUA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"420165 ARVOREDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;4
"420170 ASCURRA";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;6
"420200 BALNEARIO CAMBORIU";4;-;-;3;2;1;4;2;5;7;11;15;14;20;23;30;36;37;37;37;34;16;11;10;4;5;3;2;1;-;-;374
"420205 BALNEARIO BARRA DO SUL";2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;6
"420207 BALNEARIO GAIVOTA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4;1;5;5;1;2;2;1;1;-;-;-;-;-;-;-;26
"420208 BANDEIRANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"420210 BARRA VELHA";-;2;-;2;1;5;-;1;3;6;8;9;13;30;23;25;25;23;18;16;6;10;8;2;3;1;1;-;-;-;-;241
"420215 BELMONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420230 BIGUACU";-;-;-;-;-;-;-;-;-;-;1;2;5;4;5;2;2;1;-;1;2;1;1;2;2;1;-;-;-;-;-;32
"420240 BLUMENAU";-;5;2;4;1;-;1;2;9;11;19;17;18;21;25;28;44;34;40;27;43;16;17;5;5;2;1;1;2;-;-;400
"420245 BOMBINHAS";1;-;1;-;1;-;1;3;3;2;5;7;8;7;16;6;16;8;11;7;9;7;3;6;4;-;2;6;2;1;-;143
"420253 BOM JESUS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420280 BRACO DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"420290 BRUSQUE";-;-;-;1;1;1;-;-;-;-;-;2;3;4;5;2;3;4;5;2;4;4;2;1;-;1;-;-;-;-;-;45
"420300 CACADOR";-;-;-;-;-;4;2;-;6;12;22;18;19;25;13;6;5;4;7;3;3;5;6;5;1;1;-;1;-;-;-;168
"420310 CAIBI";-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"420320 CAMBORIU";-;-;-;-;-;1;-;1;1;-;1;3;1;9;5;10;4;-;-;2;-;-;-;-;-;-;1;-;-;-;-;39
"420330 CAMPO ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"420350 CAMPO ERE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"420360 CAMPOS NOVOS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"420380 CANOINHAS";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420390 CAPINZAL";-;-;-;-;-;-;1;-;1;3;2;-;5;2;5;5;4;9;6;5;4;3;1;-;1;-;-;-;-;-;-;57
"420400 CATANDUVAS";-;-;-;-;-;-;-;-;-;-;-;8;21;19;16;3;5;-;1;5;1;-;-;-;-;-;-;1;-;-;-;80
"420410 CAXAMBU DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
"420420 CHAPECO";4;3;1;1;7;7;10;24;18;53;104;127;149;219;143;119;122;69;50;67;39;28;10;3;5;-;-;1;1;-;1;1385
"420430 CONCORDIA";-;-;-;-;-;1;-;-;2;1;11;19;12;18;14;10;9;9;7;4;4;2;1;-;-;-;-;-;-;-;-;124
"420435 CORDILHEIRA ALTA";1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"420440 CORONEL FREITAS";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"420445 CORONEL MARTINS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420450 CORUPA";1;-;-;-;-;-;-;-;1;-;1;2;1;3;1;1;4;2;1;2;5;7;1;3;3;-;1;-;2;-;-;42
"420460 CRICIUMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420470 CUNHA PORA";-;-;-;-;-;-;-;3;-;1;6;9;6;10;12;12;13;11;4;3;5;2;-;1;-;-;-;-;-;-;-;98
"420490 DESCANSO";-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;2;6;4;-;-;2;2;-;-;-;-;-;-;-;-;-;20
"420500 DIONISIO CERQUEIRA";1;-;-;2;-;1;1;1;-;-;-;2;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"420515 DOUTOR PEDRINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"420530 FAXINAL DOS GUEDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"420535 FLOR DO SERTAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
